drug_id	target_id	action
DB00001	P00734	inhibitor
DB00002	P00533	ant/agonist
DB00002	O75015	unknown
DB00002	P02745	unknown
DB00002	P02746	unknown
DB00002	P02747	unknown
DB00002	P08637	unknown
DB00002	P12314	unknown
DB00002	P12318	unknown
DB00004	P01589	other
DB00004	P14784	ant/agonist
DB00004	P31785	unknown
DB00005	P01375	other
DB00005	P12314	other
DB00005	P12318	other
DB00005	P31994	other
DB00005	P31995	other
DB00005	P08637	other
DB00005	O75015	other
DB00005	P01374	other
DB00005	P02745	other
DB00006	P00734	inhibitor
DB00006	P05164	inhibitor
DB00007	P30968	ant/agonist
DB00008	P48551	ant/agonist
DB00008	P17181	ant/agonist
DB00008	P05177	inhibitor
DB00009	P00747	other
DB00009	P02671	unknown
DB00009	Q03405	unknown
DB00009	P05121	unknown
DB00010	Q02643	ant/agonist
DB00011	P48551	ant/agonist
DB00011	P17181	ant/agonist
DB00011	P05177	inhibitor
DB00012	P19235	ant/agonist
DB00013	P00747	other
DB00013	Q03405	other
DB00013	P05121	substrate
DB00013	P05120	substrate
DB00013	P05154	substrate
DB00013	P98164	substrate
DB00013	Q9Y5Y6	substrate
DB00013	P14543	other
DB00013	P39900	substrate
DB00014	P22888	ant/agonist
DB00014	P30968	ant/agonist
DB00015	P00747	other
DB00015	P02671	unknown
DB00015	P05121	unknown
DB00016	P19235	ant/agonist
DB00017	P30988	ant/agonist
DB00018	P17181	ant/agonist
DB00018	P48551	ant/agonist
DB00018	P05177	inhibitor
DB00019	Q99062	ant/agonist
DB00019	P08246	substrate
DB00020	P15509	ant/agonist
DB00020	P26951	ant/agonist
DB00020	P32927	ant/agonist
DB00020	P34741	ant/agonist
DB00020	P13727	unknown
DB00022	P17181	ant/agonist
DB00022	P48551	ant/agonist
DB00022	P05177	inhibitor
DB00022	P10635	inhibitor
DB00022	P11712	other
DB00023	P05543	inhibitor
DB00024	P16473	ant/agonist
DB00025	P00742	other
DB00025	P00740	other
DB00025	P04275	other
DB00025	O14832	ant/agonist
DB00025	P07307	other
DB00025	P11021	other
DB00025	P27797	other
DB00025	P27824	other
DB00025	P49257	other
DB00025	Q07954	other
DB00025	Q8NI22	other
DB00025	P00734	other
DB00025	P04070	other
DB00026	P14778	ant/agonist
DB00027	P08183	inhibitor
DB00028	P12314	ant/agonist
DB00028	Q92637	ant/agonist
DB00028	P12318	ant/agonist
DB00028	P31994	ant/agonist
DB00028	P31995	ant/agonist
DB00028	P08637	ant/agonist
DB00028	O75015	ant/agonist
DB00028	P01024	other
DB00028	P0C0L4	other
DB00028	P0C0L5	other
DB00028	P01031	other
DB00029	P00747	other
DB00029	P02671	unknown
DB00029	P05121	unknown
DB00030	P06213	ant/agonist
DB00030	P08069	unknown
DB00030	P06400	unknown
DB00030	P16870	other
DB00030	P14735	other
DB00030	P16519	other
DB00030	P29120	other
DB00030	P05177	other
DB00031	P00747	other
DB00031	P02671	unknown
DB00031	Q03405	unknown
DB00031	P05121	unknown
DB00031	P05120	unknown
DB00031	P05452	unknown
DB00031	P05787	unknown
DB00031	P07355	unknown
DB00031	P27797	unknown
DB00031	P27824	unknown
DB00031	Q07954	unknown
DB00032	P23945	other
DB00032	P22888	unknown
DB00033	P15260	other
DB00033	P38484	other
DB00033	P05177	inhibitor
DB00034	P17181	unknown
DB00034	P48551	unknown
DB00034	P05177	inhibitor
DB00035	P30518	ant/agonist
DB00035	P37288	unknown
DB00035	P47901	unknown
DB00035	P23219	other
DB00035	P35354	other
DB00036	P00742	unknown
DB00036	P10646	unknown
DB00036	P38435	unknown
DB00036	P08709	unknown
DB00036	P13726	unknown
DB00038	Q14626	ant/agonist
DB00039	P21802	other
DB00039	O14786	unknown
DB00039	P11362	unknown
DB00039	P22455	unknown
DB00039	P22607	unknown
DB00039	P98160	unknown
DB00040	P47871	ant/agonist
DB00040	O95838	ant/agonist
DB00040	P43220	ant/agonist
DB00041	P14784	ant/agonist
DB00041	P01589	ant/agonist
DB00041	P31785	ant/agonist
DB00041	P35354	other
DB00041	P47712	other
DB00041	P08684	inhibitor
DB00041	P47989	other
DB00041	P05181	inhibitor
DB00042	P63027	other
DB00042	P23763	other
DB00042	Q8N9I0	unknown
DB00043	P12319	inhibitor
DB00043	Q01362	inhibitor
DB00044	P22888	ant/agonist
DB00045	O60603	other
DB00046	P06213	ant/agonist
DB00046	P08069	unknown
DB00046	P05177	other
DB00047	P06213	ant/agonist
DB00047	P08069	unknown
DB00047	P05177	other
DB00048	P02452	unknown
DB00048	P02458	unknown
DB00048	P02461	unknown
DB00048	P08123	unknown
DB00050	P30968	ant/agonist
DB00050	P22888	unknown
DB00051	P01375	other
DB00052	P10912	other
DB00052	P16471	unknown
DB00054	P05106	ant/agonist
DB00054	P08514	ant/agonist
DB00054	P12318	unknown
DB00054	P31994	unknown
DB00054	P04004	unknown
DB00055	P00451	other
DB00055	P12259	other
DB00055	P05121	unknown
DB00055	P07204	unknown
DB00055	P07225	unknown
DB00055	P00734	unknown
DB00055	P02776	unknown
DB00055	P05154	unknown
DB00055	P35237	unknown
DB00055	Q9UNN8	unknown
DB00056	P20138	other
DB00056	O75015	unknown
DB00056	P08637	unknown
DB00056	P12314	unknown
DB00058	P08246	inhibitor
DB00059	P05543	inhibitor
DB00060	P17181	ant/agonist
DB00060	P48551	unknown
DB00060	P05177	inhibitor
DB00061	P62993	other
DB00063	P05106	unknown
DB00065	P01375	inhibitor
DB00066	P23945	ant/agonist
DB00067	P30518	ant/agonist
DB00067	P37288	unknown
DB00067	P47901	unknown
DB00067	Q92887	substrate
DB00068	P17181	ant/agonist
DB00068	P48551	ant/agonist
DB00068	P05177	inhibitor
DB00069	P17181	other
DB00069	P48551	other
DB00069	P05177	inhibitor
DB00070	P01137	inhibitor
DB00070	P02768	inhibitor
DB00071	P06213	other
DB00071	P08069	unknown
DB00071	P14735	unknown
DB00071	P01906	unknown
DB00071	P01920	unknown
DB00071	P06400	unknown
DB00071	P07339	unknown
DB00071	P16870	unknown
DB00071	P16519	unknown
DB00071	P29120	unknown
DB00071	P48745	unknown
DB00071	P98164	unknown
DB00071	Q16270	unknown
DB00071	Q96C24	unknown
DB00071	P05177	other
DB00072	P04626	other
DB00073	P11836	other
DB00074	P01589	other
DB00074	P14784	other
DB00075	P04234	unknown
DB00075	P07766	other
DB00075	P09693	unknown
DB00075	P20963	unknown
DB00075	O75015	unknown
DB00078	P11836	other
DB00081	P11836	other
DB00081	P31994	unknown
DB00082	P10912	ant/agonist
DB00082	Q02318	other
DB00082	P15104	inhibitor
DB00082	P33260	inhibitor
DB00082	P08684	other
DB00082	P06276	inhibitor
DB00082	Q02928	inhibitor
DB00083	P60880	inhibitor
DB00083	P62745	unknown
DB00086	P00747	other
DB00086	P25116	other
DB00086	P47712	other
DB00087	P31358	other
DB00087	O75015	unknown
DB00087	P08637	unknown
DB00087	P12314	unknown
DB00087	P12318	unknown
DB00087	P31994	unknown
DB00087	P31995	unknown
DB00089	Q04609	other
DB00091	P49069	other
DB00091	Q96LZ3	inhibitor
DB00091	P62937	inhibitor
DB00091	P30405	other
DB00091	P20815	substrate
DB00091	P08684	inhibitor
DB00091	P33261	inhibitor
DB00091	P10635	inhibitor
DB00091	P08183	inhibitor
DB00091	O95342	inhibitor
DB00091	Q12908	inhibitor
DB00091	Q14973	inhibitor
DB00091	Q4U2R8	inhibitor
DB00091	Q5T3U5	inhibitor
DB00091	Q92887	inhibitor
DB00091	Q9UNQ0	inhibitor
DB00091	Q9Y6L6	inhibitor
DB00091	Q9NPD5	inhibitor
DB00092	P06729	inhibitor
DB00092	P08637	unknown
DB00092	O75015	unknown
DB00093	P37288	ant/agonist
DB00094	P23945	ant/agonist
DB00095	P20701	other
DB00095	P20702	other
DB00097	P22888	unknown
DB00097	P23945	other
DB00098	P06126	inhibitor
DB00098	Q95460	ant/agonist
DB00098	P20701	unknown
DB00098	P42081	other
DB00098	P31994	unknown
DB00098	P01730	unknown
DB00098	P05556	unknown
DB00098	P06756	unknown
DB00098	P05106	unknown
DB00099	Q99062	other
DB00099	P08246	other
DB00100	P00742	other
DB00100	P03951	other
DB00100	P08709	other
DB00100	P00451	other
DB00100	P00734	unknown
DB00100	Q07954	unknown
DB00100	P38435	unknown
DB00102	P09619	unknown
DB00102	P16234	unknown
DB00102	P01023	unknown
DB00104	P05164	inhibitor
DB00104	P08684	inhibitor
DB00104	P02768	other
DB00105	P48551	other
DB00105	P17181	other
DB00105	P05177	inhibitor
DB00106	P30968	ant/agonist
DB00107	P30559	ant/agonist
DB00107	P01178	other
DB00107	P48147	substrate
DB00108	P13612	other
DB00108	O75015	unknown
DB00108	P05362	unknown
DB00108	P12314	unknown
DB00109	Q53I07	unknown
DB00109	P33261	substrate
DB00109	P05181	substrate
DB00110	P13843	unknown
DB00110	O75015	unknown
DB00110	P00736	unknown
DB00110	P02745	unknown
DB00110	P02746	unknown
DB00110	P02747	unknown
DB00110	P08637	unknown
DB00110	P12314	unknown
DB00110	P31994	unknown
DB00111	P01589	other
DB00111	P14784	other
DB00111	O75015	unknown
DB00111	P00736	unknown
DB00111	P02745	unknown
DB00111	P02746	unknown
DB00111	P02747	unknown
DB00111	P08637	unknown
DB00111	P12314	unknown
DB00111	P12318	unknown
DB00111	P31994	unknown
DB00111	P31995	unknown
DB00112	P15692	unknown
DB00112	P02745	unknown
DB00112	P02746	unknown
DB00112	P02747	unknown
DB00112	P08637	unknown
DB00112	P12314	unknown
DB00112	P12318	unknown
DB00112	P31994	unknown
DB00112	P31995	unknown
DB00113	P13688	other
DB00114	Q9BYV1	other
DB00114	Q99259	other
DB00114	P35520	other
DB00114	Q16719	other
DB00114	P34896	other
DB00114	Q9Y697	other
DB00114	P17174	other
DB00114	P04181	other
DB00114	P11926	other
DB00114	Q8N5Z0	other
DB00114	P80404	inhibitor
DB00114	Q9NVS9	other
DB00114	O95470	other
DB00114	P17735	other
DB00114	Q16773	other
DB00114	O15270	other
DB00114	Q9Y600	other
DB00114	P19113	other
DB00114	Q96A70	other
DB00114	P20132	other
DB00114	O75600	other
DB00114	P23378	other
DB00114	P24298	other
DB00114	Q9Y617	other
DB00114	P13196	other
DB00114	P21549	other
DB00114	Q96GD0	other
DB00114	O15269	other
DB00114	P32929	other
DB00114	P54687	other
DB00114	O15382	other
DB00114	O94903	other
DB00114	P00505	other
DB00114	P11216	other
DB00114	P11217	other
DB00114	P20711	other
DB00114	Q2TU84	other
DB00114	Q53ET4	other
DB00114	Q59FK2	other
DB00114	Q59GM9	other
DB00114	Q5JAM2	other
DB00114	Q5VZ30	other
DB00114	Q6IBS8	other
DB00114	Q6YP21	other
DB00114	Q6ZQY3	other
DB00114	Q96I15	other
DB00114	Q6WRI0	other
DB00114	Q8IUZ5	other
DB00114	Q8IVA8	other
DB00114	P34897	other
DB00114	P22557	other
DB00114	Q8TD30	other
DB00114	Q96EN8	other
DB00114	Q96GA7	other
DB00114	Q9BXA1	other
DB00114	Q9GZT4	other
DB00114	Q9HD40	other
DB00114	Q9NUV7	other
DB00114	Q9UGI5	other
DB00114	Q9UJX1	other
DB00115	Q99707	other
DB00115	P22033	other
DB00115	Q9UBK8	other
DB00115	Q8IVH4	other
DB00115	Q9Y4U1	other
DB00115	P42898	other
DB00115	Q96EY8	substrate
DB00115	Q05599	other
DB00115	Q9BXJ7	substrate
DB00115	P20061	substrate
DB00115	P20062	substrate
DB00115	P27352	substrate
DB00115	O60494	substrate
DB00115	P98164	unknown
DB00115	P33527	unknown
DB00116	P11586	other
DB00116	P13995	other
DB00116	P48728	other
DB00116	O75891	other
DB00116	Q99707	other
DB00116	O95954	other
DB00116	P31939	other
DB00116	P34896	other
DB00116	P34897	other
DB00116	P42898	other
DB00116	Q53ET4	other
DB00116	Q96DP5	other
DB00116	Q92887	inhibitor
DB00117	P19113	unknown
DB00117	P12081	unknown
DB00117	Q99624	unknown
DB00117	P42357	unknown
DB00117	Q8TF71	inhibitor
DB00118	Q14749	other
DB00118	P17707	other
DB00118	P31153	other
DB00118	P35520	other
DB00118	Q00266	other
DB00118	P21964	other
DB00118	Q8N1G2	unknown
DB00118	Q9HBK9	unknown
DB00118	P05181	inhibitor
DB00118	P19623	substrate
DB00119	O15427	substrate
DB00119	P36021	unknown
DB00119	Q9BYV1	unknown
DB00119	O15375	unknown
DB00119	P30613	unknown
DB00119	O15403	unknown
DB00119	O60669	inhibitor
DB00119	P11177	unknown
DB00119	P14618	unknown
DB00119	P80404	inhibitor
DB00119	O15374	unknown
DB00119	O95907	unknown
DB00119	P53985	inhibitor
DB00119	P11498	unknown
DB00119	Q8TF71	inhibitor
DB00119	Q92959	inhibitor
DB00120	P17735	unknown
DB00120	Q9UHI5	unknown
DB00120	Q9Y285	unknown
DB00120	P00439	unknown
DB00120	O95363	unknown
DB00120	Q9NSD9	unknown
DB00120	P07101	other
DB00120	Q8TF71	inhibitor
DB00121	P05166	other
DB00121	P50747	substrate
DB00121	Q9HCC0	other
DB00121	O00763	other
DB00121	Q96RQ3	other
DB00121	P11498	other
DB00121	P05165	other
DB00121	Q13085	other
DB00121	Q16678	other
DB00121	Q9Y289	substrate
DB00121	Q8N695	substrate
DB00122	Q9Y5K3	other
DB00122	P22303	other
DB00122	P49585	other
DB00122	O14939	other
DB00122	P06276	other
DB00122	Q13393	other
DB00122	Q8TCT1	other
DB00122	P36544	unknown
DB00122	Q9Y6K0	substrate
DB00122	Q9Y259	substrate
DB00122	P28329	substrate
DB00122	P35790	substrate
DB00122	Q8NE62	substrate
DB00122	O15244	inhibitor
DB00122	O15245	inhibitor
DB00122	O75751	inhibitor
DB00122	O76082	inhibitor
DB00122	Q9H015	inhibitor
DB00122	Q8WWI5	substrate
DB00122	Q53GD3	substrate
DB00122	Q8IWA5	substrate
DB00122	Q8N4M1	substrate
DB00122	Q9GZV3	substrate
DB00123	P30825	unknown
DB00123	O43246	unknown
DB00123	Q8WY07	unknown
DB00123	P52569	unknown
DB00123	Q15046	unknown
DB00123	Q8TF71	inhibitor
DB00123	Q9H015	inhibitor
DB00125	P29474	unknown
DB00125	Q8WY07	unknown
DB00125	Q96A70	unknown
DB00125	P04424	unknown
DB00125	P35228	unknown
DB00125	P30825	unknown
DB00125	P78540	unknown
DB00125	O43246	unknown
DB00125	P00966	unknown
DB00125	O76082	inhibitor
DB00125	Q8TF71	inhibitor
DB00125	Q9H015	inhibitor
DB00126	Q54873	inhibitor
DB00126	P24300	substrate
DB00126	O00469	other
DB00126	O14832	other
DB00126	O60568	other
DB00126	O75936	other
DB00126	P09172	other
DB00126	P19021	other
DB00126	Q32P28	other
DB00126	Q8IVL5	other
DB00126	Q8IVL6	other
DB00126	P13674	other
DB00126	Q8N543	other
DB00126	Q6N063	other
DB00126	Q6NS38	other
DB00126	Q96Q83	other
DB00126	Q9BY66	other
DB00126	Q02809	other
DB00126	Q9NVH6	other
DB00126	Q9NXG6	other
DB00126	Q9GZT9	other
DB00126	Q96KS0	other
DB00126	Q9H6Z9	other
DB00126	Q16881	substrate
DB00126	P02768	other
DB00126	Q9UHI7	substrate
DB00126	Q9UGH3	substrate
DB00126	P11166	substrate
DB00126	P11169	substrate
DB00126	P14672	substrate
DB00127	P52788	other
DB00127	Q9NWM0	other
DB00127	P11926	other
DB00127	P41180	unknown
DB00127	P08588	unknown
DB00127	P07550	unknown
DB00127	P47989	inhibitor
DB00127	P21673	substrate
DB00127	Q96F10	substrate
DB00127	Q9H015	inhibitor
DB00127	O15245	substrate
DB00128	P07998	unknown
DB00128	P61626	unknown
DB00128	Q9UJS0	unknown
DB00128	P17174	unknown
DB00128	P45381	unknown
DB00128	P08243	substrate
DB00128	P00966	unknown
DB00128	Q03154	unknown
DB00128	P00505	unknown
DB00128	P14868	unknown
DB00128	O75746	unknown
DB00128	Q12797	unknown
DB00128	P22234	substrate
DB00128	P30520	unknown
DB00128	P43005	unknown
DB00128	Q5T6L4	unknown
DB00128	Q6PI48	unknown
DB00128	Q7L266	unknown
DB00128	Q8N142	substrate
DB00128	P27708	substrate
DB00128	Q8TF71	inhibitor
DB00129	P04181	unknown
DB00129	P00480	unknown
DB00129	P05089	unknown
DB00129	P54368	unknown
DB00129	P30825	unknown
DB00129	P52569	unknown
DB00129	Q9BXI2	unknown
DB00129	P78540	unknown
DB00129	Q9Y619	unknown
DB00129	P50440	unknown
DB00130	P17812	substrate
DB00130	Q06203	substrate
DB00130	P15104	other
DB00130	P00488	substrate
DB00130	O94925	substrate
DB00130	Q9UI32	substrate
DB00130	P21980	substrate
DB00130	O43548	substrate
DB00130	O95932	substrate
DB00130	P22735	substrate
DB00130	P49221	substrate
DB00130	Q08188	substrate
DB00130	Q96PF1	substrate
DB00130	P49915	substrate
DB00130	P08243	substrate
DB00130	Q16773	substrate
DB00130	O15067	substrate
DB00130	O75879	substrate
DB00130	O94808	substrate
DB00130	P27708	substrate
DB00130	P47897	substrate
DB00130	Q6IA69	substrate
DB00130	Q9H2H9	substrate
DB00130	Q96QD8	substrate
DB00130	Q99624	substrate
DB00130	Q15758	substrate
DB00130	Q9UN76	substrate
DB00130	Q9UM01	substrate
DB00130	Q92536	substrate
DB00130	Q01650	substrate
DB00130	Q9UHI5	substrate
DB00130	P82251	substrate
DB00130	Q8TF71	inhibitor
DB00131	P16220	other
DB00131	Q07343	other
DB00131	Q9Y478	other
DB00131	P49773	other
DB00131	Q08499	other
DB00131	Q9NR19	other
DB00131	Q13131	other
DB00131	Q08828	other
DB00131	P33121	other
DB00131	P09467	ant/agonist
DB00131	P55263	other
DB00131	P23109	substrate
DB00131	P07741	substrate
DB00132	O60427	other
DB00132	O95864	other
DB00132	P32418	unknown
DB00132	Q8NER1	inhibitor
DB00132	Q07869	unknown
DB00132	Q96RI1	ant/agonist
DB00132	Q03181	unknown
DB00132	P37231	unknown
DB00132	P19793	unknown
DB00132	Q9NXB9	substrate
DB00132	Q9NYP7	substrate
DB00132	O15540	unknown
DB00133	P35520	unknown
DB00133	P20132	unknown
DB00133	Q9GZT4	unknown
DB00133	O15270	unknown
DB00133	O15269	unknown
DB00133	P49591	unknown
DB00133	P21549	unknown
DB00133	Q8TF71	inhibitor
DB00134	Q9UBK8	other
DB00134	Q99707	other
DB00134	P50579	other
DB00134	Q93088	other
DB00134	Q9H2M3	other
DB00134	P15104	inhibitor
DB00134	P42898	inhibitor
DB00134	P31153	substrate
DB00134	Q9Y3D2	substrate
DB00134	Q00266	substrate
DB00134	Q9NZV6	substrate
DB00134	Q9UJ68	substrate
DB00134	P56192	substrate
DB00134	Q96GW9	substrate
DB00134	Q9NZL9	substrate
DB00134	Q8TF71	inhibitor
DB00135	P07101	other
DB00135	Q9Y2Z4	unknown
DB00135	P54577	unknown
DB00135	P17735	unknown
DB00135	P36021	inhibitor
DB00135	Q8TF71	inhibitor
DB00136	P11473	ant/agonist
DB00136	P31260	unknown
DB00136	Q07973	substrate
DB00136	P08684	substrate
DB00136	P02774	other
DB00137	P02768	unknown
DB00138	Q9UPY5	unknown
DB00138	O60931	unknown
DB00138	Q8TF71	inhibitor
DB00138	P82251	unknown
DB00138	Q07837	unknown
DB00139	Q9BXA5	unknown
DB00139	P51649	inhibitor
DB00139	Q99643	substrate
DB00139	P31040	substrate
DB00139	Q96I99	other
DB00139	P13674	other
DB00139	O60568	other
DB00139	Q32P28	other
DB00139	Q8IVL5	other
DB00139	Q8IVL6	other
DB00139	P55809	other
DB00139	Q12797	other
DB00139	Q8TCC7	substrate
DB00139	Q9UBX3	other
DB00139	Q9BZW2	inhibitor
DB00139	Q13183	substrate
DB00139	Q8WWT9	substrate
DB00140	Q969G6	other
DB00140	P0AFU8	other
DB00140	P30043	other
DB00140	P21397	other
DB00140	P42898	other
DB00140	Q4U2R8	inhibitor
DB00141	P15291	unknown
DB00141	O60513	unknown
DB00141	Q9UJ70	unknown
DB00141	Q9UK23	unknown
DB00141	P54802	other
DB00141	P51606	unknown
DB00142	Q13255	unknown
DB00142	Q14833	unknown
DB00142	Q16099	unknown
DB00142	Q16478	unknown
DB00142	Q14831	unknown
DB00142	O00222	unknown
DB00142	O00341	unknown
DB00142	O14841	unknown
DB00142	O15067	unknown
DB00142	O15382	unknown
DB00142	O15399	unknown
DB00142	O94925	unknown
DB00142	P00505	unknown
DB00142	P07814	unknown
DB00142	P08243	unknown
DB00142	P15104	unknown
DB00142	P17174	unknown
DB00142	P17735	unknown
DB00142	P24298	unknown
DB00142	P38435	unknown
DB00142	P43003	unknown
DB00142	P43004	unknown
DB00142	P43005	unknown
DB00142	P48506	substrate
DB00142	P48664	unknown
DB00142	P49448	substrate
DB00142	P49915	unknown
DB00142	P54687	unknown
DB00142	P80404	unknown
DB00142	Q05586	unknown
DB00142	Q05932	unknown
DB00142	Q07075	unknown
DB00142	Q12879	unknown
DB00142	Q13224	unknown
DB00142	Q14957	unknown
DB00142	Q2TU84	substrate
DB00142	Q5JPH6	unknown
DB00142	Q6IA69	other
DB00142	Q8N159	unknown
DB00142	Q8N5Z0	unknown
DB00142	Q8TCU5	unknown
DB00142	Q8TD30	substrate
DB00142	Q9UDR5	unknown
DB00142	Q9UI32	unknown
DB00142	Q9ULA0	unknown
DB00142	Q9UPY5	unknown
DB00142	Q9Y646	unknown
DB00142	Q9Y617	unknown
DB00142	P00367	unknown
DB00142	P39086	unknown
DB00142	P42261	unknown
DB00142	P48507	unknown
DB00142	Q04609	unknown
DB00142	Q05329	unknown
DB00142	Q99259	unknown
DB00142	O95954	unknown
DB00142	P42262	unknown
DB00142	P42263	unknown
DB00142	P48058	unknown
DB00142	P54886	unknown
DB00142	Q13002	unknown
DB00142	Q13003	unknown
DB00142	Q8TF71	inhibitor
DB00142	P53985	substrate
DB00142	Q9H1K4	unknown
DB00142	Q9H936	unknown
DB00143	O14880	unknown
DB00143	O60760	unknown
DB00143	P08263	substrate
DB00143	P09210	substrate
DB00143	P10620	unknown
DB00143	P10768	unknown
DB00143	P19440	unknown
DB00143	P28161	unknown
DB00143	P35754	unknown
DB00143	P36969	other
DB00143	P46439	unknown
DB00143	P59796	other
DB00143	Q16775	unknown
DB00143	Q6NSD4	unknown
DB00143	Q96SL4	other
DB00143	Q99735	unknown
DB00143	Q9H4Y5	unknown
DB00143	Q9NS18	unknown
DB00143	Q04760	unknown
DB00143	Q16873	unknown
DB00143	P00390	unknown
DB00143	P48637	unknown
DB00143	P09488	unknown
DB00143	Q9Y2Q3	unknown
DB00143	Q16772	unknown
DB00143	P21266	unknown
DB00143	O15217	unknown
DB00143	Q03013	unknown
DB00143	Q7RTV2	unknown
DB00143	P09211	unknown
DB00143	P78417	unknown
DB00143	P07203	other
DB00143	P18283	other
DB00143	P30711	unknown
DB00143	O43708	unknown
DB00143	O75715	unknown
DB00143	P22352	other
DB00143	P15121	unknown
DB00143	P14780	unknown
DB00143	P08684	unknown
DB00143	P33527	inhibitor
DB00143	Q92887	inhibitor
DB00143	O15438	substrate
DB00143	O15439	substrate
DB00143	O15440	substrate
DB00144	P49619	unknown
DB00144	Q16760	unknown
DB00144	Q9BVG9	unknown
DB00144	Q9NXE4	unknown
DB00144	Q9NY59	unknown
DB00144	Q9Y2Q0	unknown
DB00144	P17252	unknown
DB00144	P48651	unknown
DB00144	Q9UG56	unknown
DB00144	Q8WTV0	unknown
DB00145	O75600	substrate
DB00145	P13196	substrate
DB00145	P22557	substrate
DB00145	P41250	substrate
DB00145	Q12879	ant/agonist
DB00145	Q14032	substrate
DB00145	Q14330	substrate
DB00145	P48637	substrate
DB00145	Q14957	ant/agonist
DB00145	Q53ET4	other
DB00145	Q6IB77	substrate
DB00145	P34897	other
DB00145	Q8WU03	substrate
DB00145	Q969I3	substrate
DB00145	Q9BYV1	other
DB00145	Q9P0Z9	other
DB00145	O60391	substrate
DB00145	P23415	other
DB00145	P21549	substrate
DB00145	P48167	other
DB00145	P34896	other
DB00145	O75311	other
DB00145	P23416	other
DB00145	Q14749	substrate
DB00145	P50440	substrate
DB00145	P48728	substrate
DB00145	P23378	substrate
DB00145	P09622	substrate
DB00145	P23434	substrate
DB00145	Q8TF71	inhibitor
DB00145	Q7Z2H8	substrate
DB00145	Q9H598	substrate
DB00145	Q9Y345	substrate
DB00145	P48067	substrate
DB00146	P11473	ant/agonist
DB00146	O15528	substrate
DB00146	Q07973	substrate
DB00147	O00764	unknown
DB00148	P06732	other
DB00148	P12532	other
DB00148	P12277	other
DB00148	P17540	other
DB00148	P48029	unknown
DB00148	Q14353	other
DB00148	O76082	inhibitor
DB00149	Q15031	unknown
DB00149	O15382	unknown
DB00149	P54687	unknown
DB00149	O60294	unknown
DB00149	Q9UIC8	unknown
DB00149	Q9P2J5	unknown
DB00149	Q8TF71	inhibitor
DB00149	P36021	substrate
DB00150	Q9UGM6	inhibitor
DB00150	P00953	inhibitor
DB00150	P23381	inhibitor
DB00150	P48775	substrate
DB00150	P20711	substrate
DB00150	P17752	substrate
DB00150	Q8IWU9	substrate
DB00150	P14902	substrate
DB00150	P36021	inhibitor
DB00150	Q8TF71	inhibitor
DB00151	P48507	unknown
DB00151	P48506	unknown
DB00151	P17174	substrate
DB00151	P00505	substrate
DB00151	P32929	unknown
DB00151	P35520	unknown
DB00151	P49589	substrate
DB00151	P16455	unknown
DB00151	P48637	unknown
DB00151	Q9HA77	substrate
DB00151	Q9Y600	unknown
DB00151	Q9Y697	unknown
DB00151	Q16878	unknown
DB00151	Q8TF71	inhibitor
DB00152	Q9H3S4	substrate
DB00152	P13584	other
DB00152	O75356	substrate
DB00152	Q9BU02	substrate
DB00152	P02768	other
DB00152	O15244	inhibitor
DB00152	O15245	substrate
DB00152	O76082	inhibitor
DB00152	O60779	substrate
DB00152	Q9BZV2	substrate
DB00153	P11473	ant/agonist
DB00153	Q06432	other
DB00153	Q07973	substrate
DB00153	O15528	substrate
DB00153	Q02318	substrate
DB00153	Q6VVX0	substrate
DB00153	Q96AT9	substrate
DB00153	P05108	substrate
DB00153	P02774	other
DB00154	P23219	inhibitor
DB00154	P35354	unknown
DB00154	O15540	unknown
DB00155	P00966	unknown
DB00155	O95865	unknown
DB00155	Q5T6L4	unknown
DB00155	O94760	unknown
DB00155	P00480	unknown
DB00155	P29475	unknown
DB00155	P35228	unknown
DB00155	P29474	unknown
DB00155	Q6TGC4	other
DB00155	Q9ULC6	unknown
DB00155	Q9ULW8	unknown
DB00155	Q9Y2J8	unknown
DB00155	Q9UM07	unknown
DB00155	Q4U2R8	substrate
DB00156	P26639	unknown
DB00156	Q9BW92	unknown
DB00156	Q8TF71	inhibitor
DB00157	O60701	unknown
DB00157	P07327	substrate
DB00157	Q00796	unknown
DB00157	P08319	substrate
DB00157	P00326	unknown
DB00157	P00325	substrate
DB00157	P40394	substrate
DB00157	P21695	unknown
DB00157	Q6ZMR3	unknown
DB00157	P11766	substrate
DB00157	P15121	unknown
DB00157	Q99714	unknown
DB00157	P40926	unknown
DB00157	P00338	unknown
DB00157	P23368	unknown
DB00157	P51659	unknown
DB00157	Q9BYZ2	unknown
DB00157	P07864	unknown
DB00157	P07195	unknown
DB00157	Q08426	unknown
DB00157	Q16836	unknown
DB00157	Q16798	unknown
DB00157	Q02338	unknown
DB00157	P40925	unknown
DB00157	P31937	unknown
DB00157	P37058	unknown
DB00157	P04035	unknown
DB00157	P48163	unknown
DB00157	O43175	unknown
DB00157	P56937	unknown
DB00157	P51553	unknown
DB00157	O43837	unknown
DB00157	P50213	unknown
DB00157	P14061	unknown
DB00157	P37059	unknown
DB00157	Q92781	unknown
DB00157	O95479	unknown
DB00157	Q92506	unknown
DB00157	P17516	unknown
DB00157	P12268	unknown
DB00157	P42330	unknown
DB00157	P15428	unknown
DB00157	Q13630	unknown
DB00157	Q04828	unknown
DB00157	P28845	unknown
DB00157	P26439	unknown
DB00157	P14060	unknown
