DB13961	C0003811
DB13961	C0003873
DB13961	C0015674
DB13961	C0020473
DB13961	C0020538
DB14138	C0010164
DB14138	C0040435
DB12856	C0032343
DB12856	C0006826
DB12856	C0599059
DB12856	C0007222
DB12856	C0678771
DB09010	C0006826
DB07558	C1150124
DB07558	C0014432
DB07558	C2263455
DB04474	C1566391
DB04474	C0016320
DB04474	C0021213
DB04474	C1450139
DB00089	C0279165
DB03725	C0021311
DB03725	C0042769
DB14083	C0596263
DB14083	C0480774
DB01441	C0030971
DB02465	C0014432
DB08633	C0042382
DB08633	C0042382
DB08633	C0006826
DB08633	C0006826
DB08633	C0018270
DB08633	C0018270
DB13111	C0599059
DB13111	C0678771
DB13723	C0020965
DB13723	C0007222
DB13723	C0020964
DB05708	C0234097
DB05708	C0234097
DB05708	C0027793
DB05708	C1148665
DB12670	C0012797
DB12670	C0027477
DB14195	C0599059
DB14195	C0678771
DB08550	C0014432
DB08550	C1151830
DB07996	C0014432
DB02261	C0234098
DB02261	C0234098
DB02261	C0544652
DB02261	C0020538
DB02261	C0007222
DB02261	C0027793
DB08843	C0021311
DB08843	C0006826
DB08843	C0042769
DB08843	C0020964
DB08843	C0301872
DB08398	C0596263
DB08398	C0079866
DB08398	C0480774
DB02656	C0014432
DB04905	C0018939
DB04905	C1152738
DB04905	C1152738
DB04905	C0027793
DB04905	C0032176
DB14060	C0030193
DB14060	C0030193
DB14060	C0021368
DB14060	C0021368
DB14060	C0035435
DB14060	C2261439
DB14060	C0014432
DB14060	C0683211
DB14060	C0152027
DB02855	C0007682
DB02855	C1150124
DB02855	C0014432
DB02855	C0598958
DB02855	C2263455
DB02855	C0678771
DB14181	C0014018
DB14181	C0031318
DB11474	C0004623
DB11474	C0003047
DB11286	C0011603
DB11286	C0033774
DB09222	C0005778
DB09222	C0018939
DB04931	C0001730
DB04931	C0596263
DB04931	C0006826
DB04931	C0021213
DB04931	C0678771
DB06755	C0018270
DB06755	C0342917
DB06755	C1510471
DB06755	C0406206
DB07109	C0599059
